t=522329 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(11.13,-0.78,-0.74) | IMU2 a=(10.30,1.16,78.45
t=522449 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.70,-1.15,0.72) | IMU2 a=(10.50,1.04,78.45
t=522569 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.28,-0.36,0.21) | IMU2 a=(10.30,0.40,78.45
t=522689 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.75,-0.57,0.22) | IMU2 a=(10.53,0.51,78.45
t=522809 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.57,0.20) | IMU2 a=(10.53,0.52,78.45
t=522929 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.57,0.20) | IMU2 a=(10.54,0.52,78.45
t=523049 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.97,-0.69,-0.02) | IMU2 a=(10.59,0.66,78.45
t=523169 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.48,-0.42,0.47) | IMU2 a=(10.35,0.33,78.45
t=523289 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.86,-0.59,0.17) | IMU2 a=(10.53,0.52,78.45
t=523409 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.30 Spd=0.00 | IMU1 a=(10.76,-0.53,0.33) | IMU2 a=(10.56,0.49,78.45
t=523529 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.16,-0.38,0.43) | IMU2 a=(10.42,0.21,78.45
t=523649 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.80,-0.53,0.28) | IMU2 a=(10.55,0.47,78.45
t=523769 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.91,-0.37,0.26) | IMU2 a=(10.60,0.33,78.45
t=523889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.59,0.17) | IMU2 a=(10.52,0.54,78.45
t=524009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.56,-0.46,0.44) | IMU2 a=(10.40,0.39,78.45
t=524129 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.57,-0.45,0.47) | IMU2 a=(10.46,0.45,78.45
t=524249 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.30,-0.51,0.66) | IMU2 a=(10.53,0.47,78.45
t=524369 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.65,-1.41,0.42) | IMU2 a=(10.58,1.32,78.45
t=524489 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.44,-0.92,0.71) | IMU2 a=(10.25,0.87,78.45
t=524609 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.13,-0.14,0.87) | IMU2 a=(10.25,-0.02,78.45
t=524729 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.53,-0.39,0.35) | IMU2 a=(10.43,0.34,78.45
t=524849 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.77,1.14) | IMU2 a=(10.63,0.71,78.45
t=524969 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.85,-0.80,1.01) | IMU2 a=(10.63,0.64,78.45
t=525089 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.79,-0.23,0.73) | IMU2 a=(10.59,0.21,78.45
t=525209 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.77,-0.23,0.72) | IMU2 a=(10.58,0.21,78.45
t=525329 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.20 Spd=0.00 | IMU1 a=(10.78,-0.25,0.73) | IMU2 a=(10.58,0.19,78.45
t=525449 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.79,-0.24,0.73) | IMU2 a=(10.62,0.23,78.45
t=525569 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.81,-0.25,0.70) | IMU2 a=(10.62,0.20,78.45
t=525689 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.24,0.72) | IMU2 a=(10.59,0.20,78.45
t=525809 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.80,-0.24,0.72) | IMU2 a=(10.60,0.20,78.45
t=525929 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.80,-0.24,0.71) | IMU2 a=(10.58,0.20,78.45
t=526049 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.26,0.74) | IMU2 a=(10.56,0.21,78.45
t=526169 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.24,0.71) | IMU2 a=(10.59,0.20,78.45
t=526289 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.25,0.77) | IMU2 a=(10.59,0.20,78.45
t=526409 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.79,-0.25,0.71) | IMU2 a=(10.62,0.21,78.45
t=526529 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.24,0.70) | IMU2 a=(10.60,0.20,78.45
t=526649 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.78,-0.25,0.71) | IMU2 a=(10.60,0.19,78.45
t=526769 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.79,-0.23,0.73) | IMU2 a=(10.61,0.19,78.45
t=526889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.79,-0.24,0.74) | IMU2 a=(10.60,0.20,78.45
t=527009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.80,-0.25,0.73) | IMU2 a=(10.58,0.21,78.45
t=527129 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.80,-0.25,0.74) | IMU2 a=(10.60,0.19,78.45
t=527249 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.26,0.75) | IMU2 a=(10.61,0.22,78.45
t=527369 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=nan | IMU1 a=(10.71,-0.25,0.73) | IMU2 a=(10.64,0.23,78.45
t=527489 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.23,0.71) | IMU2 a=(10.57,0.20,78.45
t=527609 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.84,-0.27,0.68) | IMU2 a=(10.63,0.22,78.45
t=527729 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.85,-0.24,0.73) | IMU2 a=(10.59,0.19,78.45
t=527849 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.95,-0.25,0.66) | IMU2 a=(10.74,0.19,78.45
t=527969 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.23,0.74) | IMU2 a=(10.58,0.19,78.45
t=528089 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.23,0.74) | IMU2 a=(10.60,0.18,78.45
t=528209 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.82,-0.23,0.73) | IMU2 a=(10.61,0.19,78.45
t=528329 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.23,0.74) | IMU2 a=(10.59,0.18,78.45
t=528449 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.81,-0.24,0.73) | IMU2 a=(10.60,0.19,78.45
t=528569 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.26,0.74) | IMU2 a=(10.59,0.19,78.45
t=528689 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.78,-0.24,0.73) | IMU2 a=(10.59,0.20,78.45
